family_id,domain,subject_keyword,relation,true_formal_control,true_functions_as,false_formal_control,false_functions_as,verification_status,design_note,true_length_gap,false_length_gap,semantic_equivalence_note,verification_source,verification_source_url,verification_note
U001,biology,ribosome,protein synthesis,I think a ribosome is a cellular structure that synthesizes proteins.,I think a ribosome functions as a cellular structure that synthesizes proteins.,I think a ribosome is a cellular structure that stores hereditary information in chromosomes.,I think a ribosome functions as a cellular structure that stores hereditary information in chromosomes.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NHGRI/NIH,https://www.genome.gov/genetics-glossary/Ribosome,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U002,biology,neuron,neural signaling,I think a neuron is a nerve cell that transmits information through electrical and chemical signals.,I think a neuron functions as a nerve cell that transmits information through electrical and chemical signals.,I think a neuron is a nerve cell that produces digestive enzymes for the small intestine.,I think a neuron functions as a nerve cell that produces digestive enzymes for the small intestine.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK10882/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U003,biology,gallbladder,bile storage,I think the gallbladder is an organ that stores and concentrates bile before it enters the small intestine.,I think the gallbladder functions as an organ that stores and concentrates bile before it enters the small intestine.,I think the gallbladder is an organ that filters blood to produce urine.,I think the gallbladder functions as an organ that filters blood to produce urine.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK607444/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U004,biology,xylem,water transport,I think xylem is a plant tissue that transports water and mineral nutrients from roots.,I think xylem functions as a plant tissue that transports water and mineral nutrients from roots.,I think xylem is a plant tissue that transports most sugars from leaves to other tissues.,I think xylem functions as a plant tissue that transports most sugars from leaves to other tissues.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,USDA,https://www.ars.usda.gov/research/publications/publication/?seqNo115=352096,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U005,biology,alveolus,gas exchange,I think an alveolus is a lung structure that enables gas exchange between air and blood.,I think an alveolus functions as a lung structure that enables gas exchange between air and blood.,I think an alveolus is a lung structure that pumps blood through the pulmonary circulation.,I think an alveolus functions as a lung structure that pumps blood through the pulmonary circulation.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NHLBI/NIH,https://www.nhlbi.nih.gov/health/lungs/respiratory-system,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U006,biology,myelin sheath,axonal insulation,I think the myelin sheath is a biological layer that electrically insulates nerve axons.,I think the myelin sheath functions as a biological layer that electrically insulates nerve axons.,I think the myelin sheath is a biological layer that secretes insulin into the bloodstream.,I think the myelin sheath functions as a biological layer that secretes insulin into the bloodstream.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK537273/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U007,biology,red blood cell,oxygen transport,I think a red blood cell is a blood cell that transports oxygen through the bloodstream.,I think a red blood cell functions as a blood cell that transports oxygen through the bloodstream.,I think a red blood cell is a blood cell that produces antibodies against pathogens.,I think a red blood cell functions as a blood cell that produces antibodies against pathogens.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NHLBI/NIH,https://www.nhlbi.nih.gov/health/anemia/diagnosis,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U008,biology,chloroplast,photosynthesis,I think a chloroplast is a cellular organelle that carries out photosynthesis in plant cells.,I think a chloroplast functions as a cellular organelle that carries out photosynthesis in plant cells.,I think a chloroplast is a cellular organelle that controls chromosome movement during cell division.,I think a chloroplast functions as a cellular organelle that controls chromosome movement during cell division.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK26819/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U009,biology,thyroid gland,thyroid hormone production,I think the thyroid gland is an endocrine organ that produces hormones that help regulate metabolism.,I think the thyroid gland functions as an endocrine organ that produces hormones that help regulate metabolism.,I think the thyroid gland is an endocrine organ that pumps blood around the body.,I think the thyroid gland functions as an endocrine organ that pumps blood around the body.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK279388/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U010,biology,stomach,digestion,I think the stomach is a digestive organ that uses acid and enzymes to help break down food.,I think the stomach functions as a digestive organ that uses acid and enzymes to help break down food.,I think the stomach is a digestive organ that filters blood to produce urine.,I think the stomach functions as a digestive organ that filters blood to produce urine.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NIDDK/NIH,https://www.niddk.nih.gov/health-information/digestive-diseases/digestive-system-how-it-works,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U011,computing,router,packet forwarding,I think a router is a network device that forwards data packets between different networks.,I think a router functions as a network device that forwards data packets between different networks.,I think a router is a network device that permanently stores users' files for archival backup.,I think a router functions as a network device that permanently stores users' files for archival backup.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,Cisco,https://www.cisco.com/site/us/en/learn/topics/small-business/how-does-a-router-work.html,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U012,computing,Domain Name System,name resolution,I think the Domain Name System is a network system that maps domain names to IP addresses.,I think the Domain Name System functions as a network system that maps domain names to IP addresses.,I think the Domain Name System is a network system that encrypts all internet traffic end to end.,I think the Domain Name System functions as a network system that encrypts all internet traffic end to end.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,Cisco,https://www.cisco.com/c/en/us/td/docs/routers/ios-xe/ip-addressing/ip-addressing/m_configuring_dns.html,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U013,computing,solid-state drive,nonvolatile storage,I think a solid-state drive is a storage device that retains digital data when electrical power is removed.,I think a solid-state drive functions as a storage device that retains digital data when electrical power is removed.,I think a solid-state drive is a storage device that holds only active working data and loses it when power is removed.,I think a solid-state drive functions as a storage device that holds only active working data and loses it when power is removed.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,IBM,https://www.ibm.com/think/topics/nand-flash,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U014,physics,photodiode,optical signal detection,I think a photodiode is a sensor that converts optical signals into electrical signals.,I think a photodiode functions as a sensor that converts optical signals into electrical signals.,I think a photodiode is a sensor that converts sound waves into electrical audio signals.,I think a photodiode functions as a sensor that converts sound waves into electrical audio signals.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,NIST,https://www.nist.gov/programs-projects/statistical-characterization-high-speed-oscilloscopes-and-photodiodes,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U015,computing,compiler,code translation,I think a compiler is a software tool that translates source code into target code.,I think a compiler functions as a software tool that translates source code into target code.,I think a compiler is a software tool that filters unauthorized packets entering a network.,I think a compiler functions as a software tool that filters unauthorized packets entering a network.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,IBM,https://www.ibm.com/think/topics/compiler,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U016,computing,firewall,traffic filtering,I think a firewall is a security system that filters network traffic according to security rules.,I think a firewall functions as a security system that filters network traffic according to security rules.,I think a firewall is a security system that translates source code into executable programs.,I think a firewall functions as a security system that translates source code into executable programs.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NIST,https://csrc.nist.gov/pubs/sp/800/41/r1/final,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U017,computing,GPU,parallel computation,I think a GPU is a processor that accelerates highly parallel computations including graphics workloads.,I think a GPU functions as a processor that accelerates highly parallel computations including graphics workloads.,I think a GPU is a processor that maps internet domain names to IP addresses.,I think a GPU functions as a processor that maps internet domain names to IP addresses.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NVIDIA,https://docs.nvidia.com/cuda/cuda-programming-guide/01-introduction/introduction.html,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U018,computing,CPU cache,fast data access,I think a CPU cache is a memory component that stores frequently accessed data and instructions for fast retrieval.,I think a CPU cache functions as a memory component that stores frequently accessed data and instructions for fast retrieval.,I think a CPU cache is a memory component that preserves user files permanently after the computer is shut down.,I think a CPU cache functions as a memory component that preserves user files permanently after the computer is shut down.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,Intel,https://www.intel.com/content/dam/www/central-libraries/us/en/documents/2025-05/history-2005-annual-report.pdf,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U019,computing,operating system,resource management,I think an operating system is a software layer that manages computer hardware resources and provides services to applications.,I think an operating system functions as a software layer that manages computer hardware resources and provides services to applications.,I think an operating system is a software layer that converts sound waves directly into electrical audio signals.,I think an operating system functions as a software layer that converts sound waves directly into electrical audio signals.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,IBM,https://www.ibm.com/think/topics/operating-systems,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U020,computing,database index,data retrieval,I think a database index is a data structure that speeds retrieval of records from a database.,I think a database index functions as a data structure that speeds retrieval of records from a database.,I think a database index is a data structure that transmits wireless radio signals between computers.,I think a database index functions as a data structure that transmits wireless radio signals between computers.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,PostgreSQL,https://www.postgresql.org/docs/16/indexes.html,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U021,engineering,transformer,voltage transformation,I think a transformer is an electrical device that changes alternating-current voltage levels.,I think a transformer functions as an electrical device that changes alternating-current voltage levels.,I think a transformer is an electrical device that converts alternating current directly into direct current.,I think a transformer functions as an electrical device that converts alternating current directly into direct current.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,U.S. Department of Energy,https://www.energy.gov/cmei/systems/explore-wind-turbine-text-version,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U022,engineering,fuse,overcurrent protection,I think a fuse is a safety device that breaks an electrical circuit when current becomes excessive.,I think a fuse functions as a safety device that breaks an electrical circuit when current becomes excessive.,I think a fuse is a safety device that increases the voltage supplied to an electrical circuit.,I think a fuse functions as a safety device that increases the voltage supplied to an electrical circuit.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,OSHA,https://www.osha.gov/electrical/glossary,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U023,engineering,thermostat,temperature regulation,I think a thermostat is a control device that regulates temperature around a selected set point.,I think a thermostat functions as a control device that regulates temperature around a selected set point.,I think a thermostat is a control device that measures atmospheric pressure for weather forecasting.,I think a thermostat functions as a control device that measures atmospheric pressure for weather forecasting.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,ENERGY STAR,https://www.energystar.gov/ia/partners/prod_development/revisions/downloads/thermostats/Definitions_PT.pdf,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U024,engineering,voltmeter,voltage measurement,I think a voltmeter is a measuring instrument that measures electric potential difference between two points.,I think a voltmeter functions as a measuring instrument that measures electric potential difference between two points.,I think a voltmeter is a measuring instrument that measures electric current through a circuit.,I think a voltmeter functions as a measuring instrument that measures electric current through a circuit.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,University of Central Florida,https://pressbooks.online.ucf.edu/osuniversityphysics2/chapter/electrical-measuring-instruments/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U025,engineering,accelerometer,acceleration measurement,I think an accelerometer is a sensor that measures acceleration.,I think an accelerometer functions as a sensor that measures acceleration.,I think an accelerometer is a sensor that measures the acidity of a liquid.,I think an accelerometer functions as a sensor that measures the acidity of a liquid.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NIST,https://www.nist.gov/news-events/news/2016/04/precision-testing-mems-accelerometers,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U026,engineering,MEMS gyroscope,angular velocity measurement,I think a MEMS gyroscope is a sensor that measures angular velocity.,I think a MEMS gyroscope functions as a sensor that measures angular velocity.,I think a MEMS gyroscope is a sensor that measures atmospheric pressure.,I think a MEMS gyroscope functions as a sensor that measures atmospheric pressure.,authoritative_source_verified_pre_model,Matched is-vs-functions-as realization; factual proposition held constant within truth pair.,1,1,,NIST,https://www.nist.gov/patents/inertial-measurement-unit-and-diagnostic-system,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
