family_id,domain,subject_keyword,relation,verification_status,verification_source,verification_source_url,verification_note
U001,biology,ribosome,protein synthesis,authoritative_source_verified_pre_model,NHGRI/NIH,https://www.genome.gov/genetics-glossary/Ribosome,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U002,biology,neuron,neural signaling,authoritative_source_verified_pre_model,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK10882/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U003,biology,gallbladder,bile storage,authoritative_source_verified_pre_model,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK607444/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U004,biology,xylem,water transport,authoritative_source_verified_pre_model,USDA,https://www.ars.usda.gov/research/publications/publication/?seqNo115=352096,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U005,biology,alveolus,gas exchange,authoritative_source_verified_pre_model,NHLBI/NIH,https://www.nhlbi.nih.gov/health/lungs/respiratory-system,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U006,biology,myelin sheath,axonal insulation,authoritative_source_verified_pre_model,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK537273/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U007,biology,red blood cell,oxygen transport,authoritative_source_verified_pre_model,NHLBI/NIH,https://www.nhlbi.nih.gov/health/anemia/diagnosis,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U008,biology,chloroplast,photosynthesis,authoritative_source_verified_pre_model,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK26819/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U009,biology,thyroid gland,thyroid hormone production,authoritative_source_verified_pre_model,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK279388/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U010,biology,stomach,digestion,authoritative_source_verified_pre_model,NIDDK/NIH,https://www.niddk.nih.gov/health-information/digestive-diseases/digestive-system-how-it-works,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U011,computing,router,packet forwarding,authoritative_source_verified_pre_model,Cisco,https://www.cisco.com/site/us/en/learn/topics/small-business/how-does-a-router-work.html,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U012,computing,Domain Name System,name resolution,authoritative_source_verified_pre_model,Cisco,https://www.cisco.com/c/en/us/td/docs/routers/ios-xe/ip-addressing/ip-addressing/m_configuring_dns.html,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U013,computing,solid-state drive,nonvolatile storage,authoritative_source_verified_pre_model,IBM,https://www.ibm.com/think/topics/nand-flash,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U014,physics,photodiode,optical signal detection,authoritative_source_verified_pre_model,NIST,https://www.nist.gov/programs-projects/statistical-characterization-high-speed-oscilloscopes-and-photodiodes,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U015,computing,compiler,code translation,authoritative_source_verified_pre_model,IBM,https://www.ibm.com/think/topics/compiler,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U016,computing,firewall,traffic filtering,authoritative_source_verified_pre_model,NIST,https://csrc.nist.gov/pubs/sp/800/41/r1/final,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U017,computing,GPU,parallel computation,authoritative_source_verified_pre_model,NVIDIA,https://docs.nvidia.com/cuda/cuda-programming-guide/01-introduction/introduction.html,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U018,computing,CPU cache,fast data access,authoritative_source_verified_pre_model,Intel,https://www.intel.com/content/dam/www/central-libraries/us/en/documents/2025-05/history-2005-annual-report.pdf,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U019,computing,operating system,resource management,authoritative_source_verified_pre_model,IBM,https://www.ibm.com/think/topics/operating-systems,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U020,computing,database index,data retrieval,authoritative_source_verified_pre_model,PostgreSQL,https://www.postgresql.org/docs/16/indexes.html,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U021,engineering,transformer,voltage transformation,authoritative_source_verified_pre_model,U.S. Department of Energy,https://www.energy.gov/cmei/systems/explore-wind-turbine-text-version,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U022,engineering,fuse,overcurrent protection,authoritative_source_verified_pre_model,OSHA,https://www.osha.gov/electrical/glossary,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U023,engineering,thermostat,temperature regulation,authoritative_source_verified_pre_model,ENERGY STAR,https://www.energystar.gov/ia/partners/prod_development/revisions/downloads/thermostats/Definitions_PT.pdf,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U024,engineering,voltmeter,voltage measurement,authoritative_source_verified_pre_model,University of Central Florida,https://pressbooks.online.ucf.edu/osuniversityphysics2/chapter/electrical-measuring-instruments/,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U025,engineering,accelerometer,acceleration measurement,authoritative_source_verified_pre_model,NIST,https://www.nist.gov/news-events/news/2016/04/precision-testing-mems-accelerometers,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U026,engineering,MEMS gyroscope,angular velocity measurement,authoritative_source_verified_pre_model,NIST,https://www.nist.gov/patents/inertial-measurement-unit-and-diagnostic-system,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U027,engineering,microphone,sound transduction,authoritative_source_verified_pre_model,NIST,https://www.nist.gov/news-events/news/2018/08/exactly-how-loud-jackhammer,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
U028,engineering,loudspeaker,sound reproduction,authoritative_source_verified_pre_model,UC Santa Barbara,https://web.physics.ucsb.edu/~lecturedemonstrations/Composer/Pages/68.54.html,"Authoritative source confirms the intended true function. False counterpart assigns a distinct, unsupported function to the same subject."
