family_id,domain,construction_class,relation,true_plain_direct,true_formal_control,true_role_relational,false_plain_direct,false_formal_control,false_role_relational,verification_status,semantic_equivalence_note,verification_note
H001,geography,serves_as_status,national-capital status,I think Oslo is the capital of Norway.,I think Oslo is Norway's national capital.,I think Oslo serves as Norway's national capital.,I think Bergen is the capital of Norway.,I think Bergen is Norway's national capital.,I think Bergen serves as Norway's national capital.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Oslo is the national capital of Norway; Bergen is not.
H002,geography,serves_as_status,national-capital status,I think Nairobi is the capital of Kenya.,I think Nairobi is Kenya's national capital.,I think Nairobi serves as Kenya's national capital.,I think Mombasa is the capital of Kenya.,I think Mombasa is Kenya's national capital.,I think Mombasa serves as Kenya's national capital.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Nairobi is the national capital of Kenya; Mombasa is not.
H003,geography,serves_as_status,national-capital status,I think Bangkok is the capital of Thailand.,I think Bangkok is Thailand's national capital.,I think Bangkok serves as Thailand's national capital.,I think Chiang Mai is the capital of Thailand.,I think Chiang Mai is Thailand's national capital.,I think Chiang Mai serves as Thailand's national capital.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Bangkok is the national capital of Thailand; Chiang Mai is not.
H004,geography,serves_as_status,national-capital status,I think Buenos Aires is the capital of Argentina.,I think Buenos Aires is Argentina's national capital.,I think Buenos Aires serves as Argentina's national capital.,I think Córdoba is the capital of Argentina.,I think Córdoba is Argentina's national capital.,I think Córdoba serves as Argentina's national capital.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Buenos Aires is the national capital of Argentina; Córdoba is not.
H005,geography,serves_as_status,national-capital status,I think Lisbon is the capital of Portugal.,I think Lisbon is Portugal's national capital.,I think Lisbon serves as Portugal's national capital.,I think Porto is the capital of Portugal.,I think Porto is Portugal's national capital.,I think Porto serves as Portugal's national capital.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Lisbon is the national capital of Portugal; Porto is not.
H006,economics,serves_as_status,official-currency status,I think the yen is the currency of Japan.,I think the yen is Japan's official currency.,I think the yen serves as Japan's official currency.,I think the yuan is the currency of Japan.,I think the yuan is Japan's official currency.,I think the yuan serves as Japan's official currency.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,The yen is Japan's currency; the yuan is not.
H007,economics,serves_as_status,official-currency status,I think the Swiss franc is the currency of Switzerland.,I think the Swiss franc is Switzerland's official currency.,I think the Swiss franc serves as Switzerland's official currency.,I think the euro is the currency of Switzerland.,I think the euro is Switzerland's official currency.,I think the euro serves as Switzerland's official currency.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,The Swiss franc is Switzerland's currency; the euro is not its national currency.
H008,chemistry,serves_as_status,chemical-symbol designation,I think Fe is the symbol for iron.,I think Fe is the chemical symbol for iron.,I think Fe serves as the chemical symbol for iron.,I think Fe is the symbol for copper.,I think Fe is the chemical symbol for copper.,I think Fe serves as the chemical symbol for copper.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"Fe is the chemical symbol for iron, not copper."
H009,chemistry,serves_as_status,chemical-symbol designation,I think K is the symbol for potassium.,I think K is the chemical symbol for potassium.,I think K serves as the chemical symbol for potassium.,I think K is the symbol for sodium.,I think K is the chemical symbol for sodium.,I think K serves as the chemical symbol for sodium.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"K is the chemical symbol for potassium, not sodium."
H010,metrology,serves_as_status,measurement-unit status,I think the metre is the base unit for length in the SI.,I think the metre is the SI base unit of length.,I think the metre serves as the SI base unit of length.,I think the metre is the base unit for mass in the SI.,I think the metre is the SI base unit of mass.,I think the metre serves as the SI base unit of mass.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"The metre is the SI base unit of length, not mass."
H011,measurement,functions_as,instrument function,I think a thermometer measures temperature.,I think a thermometer quantitatively measures temperature.,I think a thermometer functions as a temperature-measuring device.,I think a thermometer measures atmospheric pressure.,I think a thermometer quantitatively measures atmospheric pressure.,I think a thermometer functions as a pressure-measuring device.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"Thermometers measure temperature, not atmospheric pressure."
H012,measurement,functions_as,instrument function,I think a barometer measures atmospheric pressure.,I think a barometer quantitatively measures atmospheric pressure.,I think a barometer functions as a pressure-measuring device.,I think a barometer measures humidity.,I think a barometer quantitatively measures humidity.,I think a barometer functions as a humidity-measuring device.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"Barometers measure atmospheric pressure, not humidity."
H013,measurement,functions_as,instrument function,I think a hygrometer measures humidity.,I think a hygrometer quantitatively measures humidity.,I think a hygrometer functions as a humidity-measuring device.,I think a hygrometer measures wind speed.,I think a hygrometer quantitatively measures wind speed.,I think a hygrometer functions as a wind-speed-measuring device.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"Hygrometers measure humidity, not wind speed."
H014,measurement,functions_as,instrument function,I think an ammeter measures electric current.,I think an ammeter quantitatively measures electric current.,I think an ammeter functions as a current-measuring device.,I think an ammeter measures voltage.,I think an ammeter quantitatively measures voltage.,I think an ammeter functions as a voltage-measuring device.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"Ammeters measure electric current, not voltage."
H015,earth_science,functions_as,instrument function,I think a seismometer records ground motion.,I think a seismometer records seismic ground motion.,I think a seismometer functions as a ground-motion recorder.,I think a seismometer records air temperature.,I think a seismometer records changes in air temperature.,I think a seismometer functions as an air-temperature recorder.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"Seismometers detect/record ground motion, not air temperature."
H016,biology,functions_as,organ function,I think the kidneys filter waste from the blood.,I think the kidneys filter metabolic waste from the bloodstream.,I think the kidneys function as blood-filtering organs.,I think the kidneys pump blood around the body.,I think the kidneys circulate blood throughout the body.,I think the kidneys function as blood-pumping organs.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Kidneys filter wastes from blood; they do not pump blood around the body.
H017,biology,functions_as,organ function,I think the lungs exchange gases between air and blood.,I think the lungs exchange respiratory gases between air and blood.,I think the lungs function as respiratory gas-exchange organs.,I think the lungs produce insulin.,I think the lungs synthesize the hormone insulin.,I think the lungs function as insulin-producing organs.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Lungs mediate respiratory gas exchange; they do not produce insulin.
H018,biology,functions_as,organ function,I think the pancreas produces insulin.,I think the pancreas synthesizes the hormone insulin.,I think the pancreas functions as an insulin-producing organ.,I think the pancreas filters waste from the blood.,I think the pancreas filters metabolic waste from the bloodstream.,I think the pancreas functions as a blood-filtering organ.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,The pancreas produces insulin; it is not the organ that filters metabolic waste from blood.
H019,biology,functions_as,brain-region function,I think the cerebellum coordinates movement.,I think the cerebellum coordinates voluntary body movement.,I think the cerebellum functions as a movement-coordination region.,I think the cerebellum produces bile.,I think the cerebellum synthesizes bile for digestion.,I think the cerebellum functions as a bile-producing region.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,The cerebellum coordinates movement; it does not produce bile.
H020,biology,functions_as,blood-component function,I think platelets help blood clot.,I think platelets promote blood coagulation.,I think platelets function as clot-promoting blood components.,I think platelets carry oxygen to body tissues.,I think platelets transport oxygen through the bloodstream.,I think platelets function as oxygen-transporting blood components.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"Platelets contribute to clotting; red blood cells, not platelets, transport most blood oxygen."
H021,literature,author_creator_role,authorship,I think George Orwell wrote the novel Animal Farm.,I think George Orwell authored the novel Animal Farm.,I think George Orwell is the author of the novel Animal Farm.,I think J.R.R. Tolkien wrote the novel Animal Farm.,I think J.R.R. Tolkien authored the novel Animal Farm.,I think J.R.R. Tolkien is the author of the novel Animal Farm.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,George Orwell wrote the novel Animal Farm; J.R.R. Tolkien did not.
H022,literature,author_creator_role,authorship,I think Virginia Woolf wrote the novel Mrs Dalloway.,I think Virginia Woolf authored the novel Mrs Dalloway.,I think Virginia Woolf is the author of the novel Mrs Dalloway.,I think Agatha Christie wrote the novel Mrs Dalloway.,I think Agatha Christie authored the novel Mrs Dalloway.,I think Agatha Christie is the author of the novel Mrs Dalloway.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Virginia Woolf wrote the novel Mrs Dalloway; Agatha Christie did not.
H023,literature,author_creator_role,authorship,I think F. Scott Fitzgerald wrote the novel The Great Gatsby.,I think F. Scott Fitzgerald authored the novel The Great Gatsby.,I think F. Scott Fitzgerald is the author of the novel The Great Gatsby.,I think Ernest Hemingway wrote the novel The Great Gatsby.,I think Ernest Hemingway authored the novel The Great Gatsby.,I think Ernest Hemingway is the author of the novel The Great Gatsby.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,F. Scott Fitzgerald wrote the novel The Great Gatsby; Ernest Hemingway did not.
H024,literature,author_creator_role,authorship,I think Gabriel García Márquez wrote the novel One Hundred Years of Solitude.,I think Gabriel García Márquez authored the novel One Hundred Years of Solitude.,I think Gabriel García Márquez is the author of the novel One Hundred Years of Solitude.,I think Pablo Neruda wrote the novel One Hundred Years of Solitude.,I think Pablo Neruda authored the novel One Hundred Years of Solitude.,I think Pablo Neruda is the author of the novel One Hundred Years of Solitude.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Gabriel García Márquez wrote the novel One Hundred Years of Solitude; Pablo Neruda did not.
H025,literature,author_creator_role,authorship,I think Chinua Achebe wrote the novel Things Fall Apart.,I think Chinua Achebe authored the novel Things Fall Apart.,I think Chinua Achebe is the author of the novel Things Fall Apart.,I think Wole Soyinka wrote the novel Things Fall Apart.,I think Wole Soyinka authored the novel Things Fall Apart.,I think Wole Soyinka is the author of the novel Things Fall Apart.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Chinua Achebe wrote the novel Things Fall Apart; Wole Soyinka did not.
H026,computing,author_creator_role,creator attribution,I think Tim Berners-Lee created the World Wide Web.,I think Tim Berners-Lee developed the World Wide Web.,I think Tim Berners-Lee is the creator of the World Wide Web.,I think Marc Andreessen created the World Wide Web.,I think Marc Andreessen developed the World Wide Web.,I think Marc Andreessen is the creator of the World Wide Web.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Tim Berners-Lee is credited with creating/developing the World Wide Web; Marc Andreessen is not.
H027,computing,author_creator_role,creator attribution,I think Brendan Eich created JavaScript.,I think Brendan Eich developed JavaScript.,I think Brendan Eich is the creator of JavaScript.,I think James Gosling created JavaScript.,I think James Gosling developed JavaScript.,I think James Gosling is the creator of JavaScript.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Brendan Eich is credited with creating/developing JavaScript; James Gosling is not.
H028,computing,author_creator_role,creator attribution,I think Linus Torvalds created the Linux kernel.,I think Linus Torvalds developed the Linux kernel.,I think Linus Torvalds is the creator of the Linux kernel.,I think Bill Gates created the Linux kernel.,I think Bill Gates developed the Linux kernel.,I think Bill Gates is the creator of the Linux kernel.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Linus Torvalds is credited with creating/developing the Linux kernel; Bill Gates is not.
H029,computing,author_creator_role,creator attribution,I think Dennis Ritchie created the C programming language.,I think Dennis Ritchie developed the C programming language.,I think Dennis Ritchie is the creator of the C programming language.,I think John Backus created the C programming language.,I think John Backus developed the C programming language.,I think John Backus is the creator of the C programming language.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Dennis Ritchie is credited with creating/developing the C programming language; John Backus is not.
H030,computing,author_creator_role,creator attribution,I think Bjarne Stroustrup created the C++ programming language.,I think Bjarne Stroustrup developed the C++ programming language.,I think Bjarne Stroustrup is the creator of the C++ programming language.,I think Dennis Ritchie created the C++ programming language.,I think Dennis Ritchie developed the C++ programming language.,I think Dennis Ritchie is the creator of the C++ programming language.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Bjarne Stroustrup is credited with creating/developing the C++ programming language; Dennis Ritchie is not.
H031,biology,ranks_as,size ranking,I think the blue whale is the biggest animal on Earth.,I think the blue whale is the largest animal on Earth.,I think the blue whale ranks as the largest animal on Earth.,I think the African elephant is the biggest animal on Earth.,I think the African elephant is the largest animal on Earth.,I think the African elephant ranks as the largest animal on Earth.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,the blue whale is correctly described by the stated superlative; the African elephant is not.
H032,biology,ranks_as,speed ranking,I think the cheetah is the quickest land animal.,I think the cheetah is the fastest land animal.,I think the cheetah ranks as the fastest land animal.,I think the lion is the quickest land animal.,I think the lion is the fastest land animal.,I think the lion ranks as the fastest land animal.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,the cheetah is correctly described by the stated superlative; the lion is not.
H033,biology,ranks_as,size ranking,I think the ostrich is the biggest living bird.,I think the ostrich is the largest living bird.,I think the ostrich ranks as the largest living bird.,I think the emu is the biggest living bird.,I think the emu is the largest living bird.,I think the emu ranks as the largest living bird.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,the ostrich is correctly described by the stated superlative; the emu is not.
H034,biology,ranks_as,size ranking,I think the African bush elephant is the biggest living land animal.,I think the African bush elephant is the largest living land animal.,I think the African bush elephant ranks as the largest living land animal.,I think the hippopotamus is the biggest living land animal.,I think the hippopotamus is the largest living land animal.,I think the hippopotamus ranks as the largest living land animal.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,the African bush elephant is correctly described by the stated superlative; the hippopotamus is not.
H035,biology,ranks_as,size ranking,I think the whale shark is the biggest fish species.,I think the whale shark is the largest fish species.,I think the whale shark ranks as the largest fish species.,I think the great white shark is the biggest fish species.,I think the great white shark is the largest fish species.,I think the great white shark ranks as the largest fish species.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,the whale shark is correctly described by the stated superlative; the great white shark is not.
H036,geography,ranks_as,area ranking,I think Brazil is the biggest country in South America by area.,I think Brazil is the largest country in South America by area.,I think Brazil ranks as the largest country in South America by area.,I think Argentina is the biggest country in South America by area.,I think Argentina is the largest country in South America by area.,I think Argentina ranks as the largest country in South America by area.,source_verified_replacement,matched_by_design; replacement for prior-overlap family; rerun prior-stimulus overlap audit before freezing,Brazil is the largest country in South America by area; Argentina is not. Source: https://www.cia.gov/the-world-factbook/about/archives/2022/countries/brazil/
H037,geography,ranks_as,area ranking,I think Asia is the biggest continent by area.,I think Asia is the largest continent by area.,I think Asia ranks as the largest continent by area.,I think Africa is the biggest continent by area.,I think Africa is the largest continent by area.,I think Africa ranks as the largest continent by area.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Asia is correctly described by the stated superlative; Africa is not.
H038,geography,ranks_as,area ranking,I think Russia is the biggest country by area.,I think Russia is the largest country by total area.,I think Russia ranks as the largest country by total area.,I think China is the biggest country by area.,I think China is the largest country by total area.,I think China ranks as the largest country by total area.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Russia is correctly described by the stated superlative; China is not.
H039,geography,ranks_as,area ranking,I think Vatican City is the world's smallest country.,I think Vatican City is the world's smallest sovereign state by area.,I think Vatican City ranks as the world's smallest sovereign state by area.,I think Monaco is the world's smallest country.,I think Monaco is the world's smallest sovereign state by area.,I think Monaco ranks as the world's smallest sovereign state by area.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Vatican City is correctly described by the stated superlative; Monaco is not.
H040,geography,ranks_as,area ranking,I think Greenland is the largest island outside the continents.,I think Greenland is the world's largest non-continental island.,I think Greenland ranks as the world's largest non-continental island.,I think Madagascar is the largest island outside the continents.,I think Madagascar is the world's largest non-continental island.,I think Madagascar ranks as the world's largest non-continental island.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,Greenland is correctly described by the stated superlative; Madagascar is not.
H041,institutions,headquarters_role,headquarters location,I think WHO is headquartered in Geneva.,I think WHO has its headquarters in Geneva.,I think Geneva serves as the headquarters location for WHO.,I think WHO is headquartered in Zurich.,I think WHO has its headquarters in Zurich.,I think Zurich serves as the headquarters location for WHO.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"WHO is headquartered in Geneva, not Zurich."
H042,institutions,headquarters_role,headquarters location,I think UNESCO is headquartered in Paris.,I think UNESCO has its headquarters in Paris.,I think Paris serves as the headquarters location for UNESCO.,I think UNESCO is headquartered in Rome.,I think UNESCO has its headquarters in Rome.,I think Rome serves as the headquarters location for UNESCO.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"UNESCO is headquartered in Paris, not Rome."
H043,institutions,headquarters_role,headquarters location,I think NATO is headquartered in Brussels.,I think NATO has its headquarters in Brussels.,I think Brussels serves as the headquarters location for NATO.,I think NATO is headquartered in Amsterdam.,I think NATO has its headquarters in Amsterdam.,I think Amsterdam serves as the headquarters location for NATO.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"NATO is headquartered in Brussels, not Amsterdam."
H044,institutions,headquarters_role,headquarters location,I think the United Nations is headquartered in New York City.,I think the United Nations has its headquarters in New York City.,I think New York City serves as the headquarters location for the United Nations.,"I think the United Nations is headquartered in Washington, D.C..","I think the United Nations has its headquarters in Washington, D.C..","I think Washington, D.C. serves as the headquarters location for the United Nations.",prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"the United Nations is headquartered in New York City, not Washington, D.C.."
H045,institutions,headquarters_role,headquarters location,I think the International Atomic Energy Agency is headquartered in Vienna.,I think the International Atomic Energy Agency has its headquarters in Vienna.,I think Vienna serves as the headquarters location for the International Atomic Energy Agency.,I think the International Atomic Energy Agency is headquartered in Salzburg.,I think the International Atomic Energy Agency has its headquarters in Salzburg.,I think Salzburg serves as the headquarters location for the International Atomic Energy Agency.,source_verified,matched_by_design,"IAEA headquarters are in Vienna, Austria; Salzburg is not."
H046,institutions,headquarters_role,headquarters location,I think the European Central Bank is headquartered in Frankfurt.,I think the European Central Bank has its headquarters in Frankfurt.,I think Frankfurt serves as the headquarters location for the European Central Bank.,I think the European Central Bank is headquartered in Berlin.,I think the European Central Bank has its headquarters in Berlin.,I think Berlin serves as the headquarters location for the European Central Bank.,prechecked_static_fact_source_log_pending,matched_by_design; inspect audit before freezing,"the European Central Bank is headquartered in Frankfurt, not Berlin."
