family_id,domain,relation,true_plain,true_formal,false_plain,false_formal,true_plain_words,true_formal_words,false_plain_words,false_formal_words,true_length_difference,false_length_difference,true_false_length_match,preferred_length_range
F001,geography,capital of Australia,I think Canberra is the capital of Australia.,I think Canberra serves as Australia's national capital.,I think Sydney is the capital of Australia.,I think Sydney serves as Australia's national capital.,8,8,8,8,0,0,True,True
F002,geography,capital of Canada,I think Ottawa is the capital of Canada.,I think Ottawa serves as Canada's national capital.,I think Toronto is the capital of Canada.,I think Toronto serves as Canada's national capital.,8,8,8,8,0,0,True,True
F003,astronomy,planet closest to the Sun,I think Mercury is the closest planet to the Sun.,I think Mercury is the planet situated closest to the Sun.,I think Venus is the closest planet to the Sun.,I think Venus is the planet situated closest to the Sun.,10,11,10,11,1,1,True,True
F004,chemistry,chemical symbol for gold,I think Au is the chemical symbol for gold.,I think Au is the chemical designation for gold.,I think Ag is the chemical symbol for gold.,I think Ag is the chemical designation for gold.,9,9,9,9,0,0,True,True
F005,physics,relative speed of light and sound,I think light travels faster than sound in air.,I think light propagates faster than sound in air.,I think sound travels faster than light in air.,I think sound propagates faster than light in air.,9,9,9,9,0,0,True,True
F006,biology,number of chambers in the human heart,I think the human heart has four chambers.,I think the human heart comprises four chambers.,I think the human heart has three chambers.,I think the human heart comprises three chambers.,8,8,8,8,0,0,True,True
F007,computing,creator of Python,I think Python was created by Guido van Rossum.,I think Python was developed by Guido van Rossum.,I think Python was created by James Gosling.,I think Python was developed by James Gosling.,9,9,8,8,0,0,True,True
F008,literature,author of Hamlet,I think Hamlet was written by William Shakespeare.,I think Hamlet was authored by William Shakespeare.,I think Hamlet was written by Charles Dickens.,I think Hamlet was authored by Charles Dickens.,8,8,8,8,0,0,True,True
F009,geography,highest mountain above sea level,I think Mount Everest is the highest mountain above sea level.,I think Mount Everest has the highest elevation above sea level.,I think K2 is the highest mountain above sea level.,I think K2 has the highest elevation above sea level.,11,11,10,10,0,0,True,True
F010,history,first person to walk on the Moon,I think Neil Armstrong was the first person to walk on the Moon.,I think Neil Armstrong was the first human to walk on the lunar surface.,I think Buzz Aldrin was the first person to walk on the Moon.,I think Buzz Aldrin was the first human to walk on the lunar surface.,13,14,13,14,1,1,True,True
F011,geography,capital of Brazil,I think Brasilia is the capital of Brazil.,I think Brasilia functions as Brazil's national capital.,I think Rio de Janeiro is the capital of Brazil.,I think Rio de Janeiro functions as Brazil's national capital.,8,8,10,10,0,0,True,True
F012,astronomy,largest planet in the Solar System,I think Jupiter is the largest planet in the Solar System.,I think Jupiter ranks as the largest planet in the Solar System.,I think Saturn is the largest planet in the Solar System.,I think Saturn ranks as the largest planet in the Solar System.,11,12,11,12,1,1,True,True
F013,biology,organ that pumps blood,I think the heart pumps blood through the body.,I think the heart propels blood throughout the body.,I think the liver pumps blood through the body.,I think the liver propels blood throughout the body.,9,9,9,9,0,0,True,True
