family_id,condition,truth,realization,claim,domain,subject_keyword,relation,agreement_score_AB,agreement_score_BA,agreement_score,label_order_gap
U001,true_formal_control,true,formal_control,I think a ribosome is a cellular structure that synthesizes proteins.,biology,ribosome,protein synthesis,14.3359375,5.859375,10.09765625,8.4765625
U002,true_formal_control,true,formal_control,I think a neuron is a nerve cell that transmits information through electrical and chemical signals.,biology,neuron,neural signaling,13.96875,4.921875,9.4453125,9.046875
U003,true_formal_control,true,formal_control,I think the gallbladder is an organ that stores and concentrates bile before it enters the small intestine.,biology,gallbladder,bile storage,13.171875,5.34375,9.2578125,7.828125
U004,true_formal_control,true,formal_control,I think xylem is a plant tissue that transports water and mineral nutrients from roots.,biology,xylem,water transport,13.96875,4.96875,9.46875,9.0
U005,true_formal_control,true,formal_control,I think an alveolus is a lung structure that enables gas exchange between air and blood.,biology,alveolus,gas exchange,14.0625,5.046875,9.5546875,9.015625
U006,true_formal_control,true,formal_control,I think the myelin sheath is a biological layer that electrically insulates nerve axons.,biology,myelin sheath,axonal insulation,14.0234375,4.734375,9.37890625,9.2890625
U007,true_formal_control,true,formal_control,I think a red blood cell is a blood cell that transports oxygen through the bloodstream.,biology,red blood cell,oxygen transport,13.828125,5.96875,9.8984375,7.859375
U008,true_formal_control,true,formal_control,I think a chloroplast is a cellular organelle that carries out photosynthesis in plant cells.,biology,chloroplast,photosynthesis,13.90625,5.84375,9.875,8.0625
U009,true_formal_control,true,formal_control,I think the thyroid gland is an endocrine organ that produces hormones that help regulate metabolism.,biology,thyroid gland,thyroid hormone production,13.5703125,4.890625,9.23046875,8.6796875
U010,true_formal_control,true,formal_control,I think the stomach is a digestive organ that uses acid and enzymes to help break down food.,biology,stomach,digestion,12.921875,5.046875,8.984375,7.875
U011,true_formal_control,true,formal_control,I think a router is a network device that forwards data packets between different networks.,computing,router,packet forwarding,14.81640625,5.96875,10.392578125,8.84765625
U012,true_formal_control,true,formal_control,I think the Domain Name System is a network system that maps domain names to IP addresses.,computing,Domain Name System,name resolution,13.40625,5.65625,9.53125,7.75
U013,true_formal_control,true,formal_control,I think a solid-state drive is a storage device that retains digital data when electrical power is removed.,computing,solid-state drive,nonvolatile storage,12.2734375,3.078125,7.67578125,9.1953125
U014,true_formal_control,true,formal_control,I think a photodiode is a sensor that converts optical signals into electrical signals.,physics,photodiode,optical signal detection,14.8828125,4.75,9.81640625,10.1328125
U015,true_formal_control,true,formal_control,I think a compiler is a software tool that translates source code into target code.,computing,compiler,code translation,14.0546875,4.375,9.21484375,9.6796875
U016,true_formal_control,true,formal_control,I think a firewall is a security system that filters network traffic according to security rules.,computing,firewall,traffic filtering,14.80859375,5.296875,10.052734375,9.51171875
U017,true_formal_control,true,formal_control,I think a GPU is a processor that accelerates highly parallel computations including graphics workloads.,computing,GPU,parallel computation,11.046875,3.90625,7.4765625,7.140625
U018,true_formal_control,true,formal_control,I think a CPU cache is a memory component that stores frequently accessed data and instructions for fast retrieval.,computing,CPU cache,fast data access,14.4609375,5.828125,10.14453125,8.6328125
U019,true_formal_control,true,formal_control,I think an operating system is a software layer that manages computer hardware resources and provides services to applications.,computing,operating system,resource management,14.8125,5.90625,10.359375,8.90625
U020,true_formal_control,true,formal_control,I think a database index is a data structure that speeds retrieval of records from a database.,computing,database index,data retrieval,13.6796875,6.203125,9.94140625,7.4765625
