family_id,domain,relation,plain_sentence,formal_sentence,technical_lexicon,role_or_status_framing,taxonomic_or_categorical_framing,relation_reframing,syntactic_restructuring,nominalization,semantic_specificity_change,other_register_feature,coding_notes,false_register_effect,true_register_effect,interaction_effect,coding_status
F047,mathematics,number and equality of sides of a square,I think a square has three equal sides.,I think a square possesses three congruent sides.,1,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,1.8671875,-1.001953125,2.869140625,assisted exploratory linguistic coding using pre-specified coding manual
F015,history,year the Second World War ended,I think the Second World War ended in 1943.,I think the Second World War concluded in 1943.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,1.17578125,0.0390625,1.13671875,assisted exploratory linguistic coding using pre-specified coding manual
F020,biology,use of light in photosynthesis,I think photosynthesis uses sound to make energy-rich sugars.,I think photosynthesis utilizes sound to synthesize energy-rich sugars.,1,0,0,0,0,0,same,scientific lexicalization,Assisted coding using pre-specified register-realization coding manual.,0.1640625,-0.0546875,0.21875,assisted exploratory linguistic coding using pre-specified coding manual
F032,mathematics,sum of triangle angles in Euclidean geometry,I think a triangle's angles add up to 360 degrees in Euclidean geometry.,I think a triangle's interior angles total 360 degrees in Euclidean geometry.,1,0,0,0,0,0,more,terminological precision,Assisted coding using pre-specified register-realization coding manual.,-0.41015625,-0.28515625,-0.125,assisted exploratory linguistic coding using pre-specified coding manual
F050,earth_science,rock classification of granite,I think granite is a sedimentary rock.,I think granite belongs to the sedimentary rock class.,1,0,1,1,1,0,same,explicit classification,Assisted coding using pre-specified register-realization coding manual.,0.19921875,1.8203125,-1.62109375,assisted exploratory linguistic coding using pre-specified coding manual
F012,astronomy,largest planet in the Solar System,I think Saturn is the largest planet in the Solar System.,I think Saturn ranks as the largest planet in the Solar System.,0,1,0,1,0,0,same,ranking/standing framing,Assisted coding using pre-specified register-realization coding manual.,0.21484375,0.23046875,-0.015625,assisted exploratory linguistic coding using pre-specified coding manual
F011,geography,capital of Brazil,I think Rio de Janeiro is the capital of Brazil.,I think Rio de Janeiro functions as Brazil's national capital.,0,1,0,1,0,0,same,functional/status framing,Assisted coding using pre-specified register-realization coding manual.,1.79296875,-0.16015625,1.953125,assisted exploratory linguistic coding using pre-specified coding manual
F017,computing,HTML as a markup language,I think HTML is a programming language.,I think HTML qualifies as a programming language.,0,1,1,1,0,0,same,qualification framing,Assisted coding using pre-specified register-realization coding manual.,8.6796875,-0.3046875,8.984375,assisted exploratory linguistic coding using pre-specified coding manual
F019,geography,continent containing the Sahara,I think the Sahara Desert is in Asia.,I think the Sahara Desert is situated in Asia.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,-0.3203125,0.66796875,-0.98828125,assisted exploratory linguistic coding using pre-specified coding manual
F024,chemistry,composition of a water molecule,I think a water molecule contains one hydrogen atom and two oxygen atoms.,I think a water molecule comprises one hydrogen atom and two oxygen atoms.,0,0,0,0,0,0,same,lexical elevation,Assisted coding using pre-specified register-realization coding manual.,0.12109375,0.25,-0.12890625,assisted exploratory linguistic coding using pre-specified coding manual
